prompt_len,response_len,quality_ratio,error
744,525,0.7056451612903226,
793,330,0.416141235813367,
766,526,0.6866840731070496,
707,461,0.652050919377652,
730,506,0.6931506849315069,
742,523,0.7048517520215634,
771,477,0.6186770428015564,
750,423,0.564,
794,366,0.4609571788413098,
800,492,0.615,
768,356,0.4635416666666667,
709,456,0.6431593794076164,
759,509,0.6706192358366272,
716,413,0.5768156424581006,
733,513,0.6998635743519782,
786,585,0.7442748091603053,
734,425,0.5790190735694822,
781,440,0.5633802816901409,
720,535,0.7430555555555556,
793,520,0.6557377049180327,
