endpoint,prompt,ttft_ms,e2e_ms,tokens,tpot_ms,error
complete,"The transformer model architecture, introduced by Vaswani et al. in 2017, revolutionized natural lan",37.92,965.02,32,29.91,
complete,"The transformer model architecture, introduced by Vaswani et al. in 2017, revolutionized natural lan",48.91,973.98,32,29.84,
complete,"The transformer model architecture, introduced by Vaswani et al. in 2017, revolutionized natural lan",33.61,961.09,32,29.92,
complete,"The transformer model architecture, introduced by Vaswani et al. in 2017, revolutionized natural lan",39.92,966.43,32,29.89,
complete,"The transformer model architecture, introduced by Vaswani et al. in 2017, revolutionized natural lan",41.9,969.1,32,29.91,
complete,"The transformer model architecture, introduced by Vaswani et al. in 2017, revolutionized natural lan",40.0,965.24,32,29.85,
complete,"The transformer model architecture, introduced by Vaswani et al. in 2017, revolutionized natural lan",33.73,960.55,32,29.9,
complete,"The transformer model architecture, introduced by Vaswani et al. in 2017, revolutionized natural lan",43.11,968.14,32,29.84,
complete,"The transformer model architecture, introduced by Vaswani et al. in 2017, revolutionized natural lan",41.85,968.58,32,29.89,
complete,"The transformer model architecture, introduced by Vaswani et al. in 2017, revolutionized natural lan",33.86,959.68,32,29.87,
complete,"The transformer model architecture, introduced by Vaswani et al. in 2017, revolutionized natural lan",37.42,962.95,32,29.86,
complete,"The transformer model architecture, introduced by Vaswani et al. in 2017, revolutionized",33.07,960.02,32,29.9,
complete,"The transformer model architecture, introduced by Vaswani et al. in 2017, revolutionized natural lan",46.38,972.8,32,29.88,
complete,"The transformer model architecture, introduced by Vaswani et al. in 2017, revolutionized natural lan",33.85,961.19,32,29.91,
complete,"The transformer model architecture, introduced by Vaswani et al. in 2017, revolutionized natural lan",48.71,974.7,32,29.87,
complete,"The transformer model architecture, introduced by Vaswani et al. in 2017, revolutionized natural lan",33.87,960.19,32,29.88,
complete,"The transformer model architecture, introduced by Vaswani et al. in 2017, revolutionized natural lan",36.75,962.52,32,29.86,
complete,"The transformer model architecture, introduc",33.78,960.36,32,29.89,
complete,"The transformer model architecture, introduced by Vaswani et al. in 2017, revolutionized natural lan",40.77,966.33,32,29.86,
complete,"The transformer model architecture, introduced by Vaswani et al. in 2017, revolutionized natural lan",65.78,993.86,32,29.94,
