endpoint,prompt,ttft_ms,e2e_ms,tokens,tpot_ms,error
complete,The French Revolution began in 1789 and fundamentally changed,39.47,1441.55,48,29.83,
complete,Distributed training splits computation across multiple devices to,41.42,1920.75,64,29.83,
complete,"Thread affinity pins threads to specific CPU cores, which",38.72,964.16,32,29.85,
complete,"The Battle of Waterloo was fought on 18 June 1815, marking",38.85,1916.57,64,29.81,
complete,Neural networks consist of layers of interconnected nodes that,41.02,965.78,32,29.83,
complete,"The internet protocol suite, commonly known as TCP/IP,",42.97,968.4,32,29.85,
complete,Speculative decoding works by using a smaller draft model to,36.77,1915.1,64,29.81,
complete,Continuous batching allows the server to add new requests to,36.84,961.04,32,29.81,
complete,Inference latency is affected by both the prefill phase and,38.74,1440.58,48,29.83,
complete,The attention mechanism computes a weighted sum of values based on,38.9,964.57,32,29.86,
complete,Memory efficiency in large language models is critical because,40.93,966.6,32,29.86,
complete,The NUMA architecture affects memory access latency because,37.67,962.51,32,29.83,
complete,The transformer architecture was introduced in 2017 and has since,39.83,1442.17,48,29.84,
complete,Continuous batching allows the server to add new requests to,36.92,1438.19,48,29.81,
complete,Speculative decoding works by using a smaller draft model to,36.95,1439.04,48,29.83,
complete,Photosynthesis is the process by which plants convert light energy into,39.34,1917.16,64,29.81,
complete,"The Battle of Waterloo was fought on 18 June 1815, marking",39.96,1443.2,48,29.86,
complete,"When a user types in an AI-assisted editor, the system must",39.03,965.7,32,29.89,
complete,Reinforcement learning is a type of machine learning in which,38.93,1440.49,48,29.82,
complete,The time-to-first-token metric measures how long it takes before,38.8,1441.96,48,29.85,
